METADATA,ASHRAE,FACTORY
MONTHLY,0.96,0.85,0.98,0.98,0.98,1.00,1.00,1.00,1.00,0.98,1.00,0.96
DAY,HOUR,OCCUPANCY,APPLIANCES,LIGHTING,WATER,HEATING,COOLING,PROCESSES,SERVERS,ELECTROMOBILITY
SATURDAY,4,0.10,0.21,0.18,0.08,SETBACK,SETBACK,0.25,0.20,0.00
SATURDAY,5,0.10,0.21,0.18,0.08,SETBACK,SETBACK,0.25,0.20,0.00
SATURDAY,6,0.10,0.21,0.18,0.08,SETPOINT,SETPOINT,0.25,0.20,0.01
SATURDAY,7,0.30,0.32,0.32,0.18,SETPOINT,SETPOINT,0.45,0.20,0.01
SATURDAY,8,0.60,0.48,0.55,0.45,SETPOINT,SETPOINT,0.65,0.20,0.03
SATURDAY,9,0.60,0.48,0.55,0.35,SETPOINT,SETPOINT,0.65,0.20,0.06
SATURDAY,10,0.60,0.48,0.55,0.35,SETPOINT,SETPOINT,0.65,0.20,0.11
SATURDAY,11,0.60,0.48,0.55,0.35,SETPOINT,SETPOINT,0.65,0.20,0.16
SATURDAY,12,0.50,0.43,0.47,0.40,SETPOINT,SETPOINT,0.50,0.20,0.19
SATURDAY,13,0.50,0.43,0.47,0.40,SETPOINT,SETPOINT,0.50,0.20,0.19
SATURDAY,14,0.45,0.40,0.44,0.27,SETPOINT,SETPOINT,0.45,0.20,0.17
SATURDAY,15,0.35,0.34,0.36,0.21,SETPOINT,SETPOINT,0.35,0.20,0.16
SATURDAY,16,0.25,0.29,0.29,0.16,SETPOINT,SETPOINT,0.30,0.20,0.15
SATURDAY,17,0.20,0.26,0.25,0.13,SETPOINT,SETPOINT,0.25,0.20,0.14
SATURDAY,18,0.15,0.23,0.21,0.20,SETBACK,SETBACK,0.25,0.20,0.11
SATURDAY,19,0.10,0.21,0.18,0.18,SETBACK,SETBACK,0.25,0.20,0.09
SATURDAY,20,0.10,0.21,0.18,0.08,SETBACK,SETBACK,0.25,0.20,0.06
SATURDAY,21,0.10,0.21,0.18,0.08,SETBACK,SETBACK,0.25,0.20,0.04
SATURDAY,22,0.10,0.21,0.18,0.08,SETBACK,SETBACK,0.25,0.20,0.02
SATURDAY,23,0.10,0.21,0.18,0.08,SETBACK,SETBACK,0.25,0.20,0.01
SATURDAY,24,0.10,0.21,0.18,0.08,SETBACK,SETBACK,0.25,0.20,0.00
SUNDAY,1,0.05,0.13,0.14,0.05,SETBACK,SETBACK,0.20,0.20,0.00
SUNDAY,2,0.05,0.13,0.14,0.05,SETBACK,SETBACK,0.20,0.20,0.00
SUNDAY,3,0.05,0.13,0.14,0.05,SETBACK,SETBACK,0.20,0.20,0.00
SUNDAY,4,0.05,0.13,0.14,0.05,SETBACK,SETBACK,0.20,0.20,0.00
SUNDAY,5,0.05,0.13,0.14,0.05,SETBACK,SETBACK,0.20,0.20,0.00
SUNDAY,6,0.05,0.13,0.14,0.05,SETBACK,SETBACK,0.20,0.20,0.00
SUNDAY,7,0.10,0.21,0.18,0.08,SETBACK,SETBACK,0.20,0.20,0.01
SUNDAY,8,0.15,0.23,0.21,0.20,SETBACK,SETBACK,0.30,0.20,0.01
SUNDAY,9,0.20,0.26,0.25,0.13,SETBACK,SETBACK,0.30,0.20,0.03
SUNDAY,10,0.20,0.26,0.25,0.13,SETBACK,SETBACK,0.30,0.20,0.05
SUNDAY,11,0.20,0.26,0.25,0.13,SETBACK,SETBACK,0.30,0.20,0.07
SUNDAY,12,0.15,0.23,0.21,0.20,SETBACK,SETBACK,0.25,0.20,0.08
SUNDAY,13,0.15,0.23,0.21,0.20,SETBACK,SETBACK,0.25,0.20,0.08
SUNDAY,14,0.15,0.23,0.21,0.10,SETBACK,SETBACK,0.25,0.20,0.07
SUNDAY,15,0.15,0.23,0.21,0.10,SETBACK,SETBACK,0.25,0.20,0.07
SUNDAY,16,0.10,0.21,0.18,0.08,SETBACK,SETBACK,0.22,0.20,0.06
SUNDAY,17,0.10,0.21,0.18,0.08,SETBACK,SETBACK,0.22,0.20,0.06
SUNDAY,18,0.05,0.13,0.14,0.15,SETBACK,SETBACK,0.20,0.20,0.05
SUNDAY,19,0.05,0.13,0.14,0.15,SETBACK,SETBACK,0.20,0.20,0.03
SUNDAY,20,0.05,0.13,0.14,0.05,SETBACK,SETBACK,0.20,0.20,0.03
SUNDAY,21,0.05,0.13,0.14,0.05,SETBACK,SETBACK,0.20,0.20,0.01
SUNDAY,22,0.05,0.13,0.14,0.05,SETBACK,SETBACK,0.20,0.20,0.01
SUNDAY,23,0.05,0.13,0.14,0.05,SETBACK,SETBACK,0.20,0.20,0.00
SUNDAY,24,0.05,0.13,0.14,0.05,SETBACK,SETBACK,0.20,0.20,0.00
